Frame,Right_Knee,Left_Knee,Right_Hip,Left_Hip,Spine_Lean
0,148.66876,159.30061,168.50568,158.88742,165.67601
1,148.35785,159.48071,168.56169,158.88965,165.88011
2,148.2689,159.61742,168.66325,158.92447,166.04793
3,148.07707,159.66838,168.79582,158.82472,166.24355
4,147.92047,159.75124,168.99475,158.7422,166.50313
5,148.06046,160.00229,169.23155,158.66107,166.87914
6,147.88376,160.04231,169.58926,158.47913,167.24286
7,148.0243,160.47421,169.99443,158.18445,167.98314
8,148.27718,160.79248,170.44496,157.6417,168.67319
9,148.93314,161.51276,170.77272,156.97363,169.43753
10,149.70293,161.91272,170.82265,156.17352,170.11041
11,150.17355,162.0615,170.37236,155.03934,170.66576
12,150.14783,161.39818,169.26811,153.31421,171.38779
13,148.88002,158.97292,167.59094,151.03545,171.92627
14,146.53471,155.6521,165.54884,148.49533,172.19473
15,144.03012,152.25697,163.75584,146.79767,172.1353
16,142.98116,150.29604,162.735,145.93362,172.1586
17,142.71077,149.68271,162.4073,146.00471,171.9599
18,143.56885,150.40788,162.96982,147.1404,171.69504
19,145.20497,152.0018,164.19853,148.76506,171.44319
20,147.40619,154.84184,165.98082,150.84586,171.04823
21,149.8169,158.06009,167.92908,153.13242,170.38124
22,151.6192,160.47838,169.53917,155.06813,169.64162
23,152.384,161.70505,170.39265,156.45163,168.88104
24,152.43797,162.31578,170.48862,157.5747,168.07957
25,152.08195,162.36542,170.20078,158.39314,167.35768
26,152.03026,162.4643,169.84668,158.91306,166.68015
27,151.68639,162.28775,169.51187,159.23285,166.03815
28,151.08672,162.16951,169.21898,159.34752,165.62021
29,150.45854,161.83826,169.01962,159.42787,165.30986
30,149.96266,161.59668,168.8755,159.5289,165.00671
31,149.54037,161.68489,168.77652,159.57915,164.94583
32,149.26155,161.65668,168.7176,159.69292,164.72328
33,148.89752,161.6674,168.68721,159.72908,164.781
34,148.65518,161.54839,168.69125,159.64655,164.81378
35,148.44887,161.40813,168.72717,159.54353,165.06871
36,148.41672,161.5301,168.76999,159.42934,165.30772
37,148.11787,161.29991,168.90332,159.21567,165.58415
38,148.18417,161.33627,169.00781,159.07408,166.07329
39,148.1614,161.24336,169.22804,158.80794,166.69702
40,148.35408,161.04306,169.53432,158.38707,167.21777
41,148.76326,161.09442,169.86739,157.98381,167.93303
42,149.45187,161.25021,170.1548,157.34712,168.77258
43,150.17407,161.23474,170.27637,156.48,169.69241
44,150.55788,160.81937,169.95984,155.08821,170.59541
45,150.40034,159.68675,168.94612,153.20897,171.52121
46,149.08,157.01549,167.16615,150.62242,172.37642
47,146.62143,153.14767,165.09056,147.74643,173.00786
48,144.37495,149.44753,163.23619,145.36768,173.34845
49,142.64569,146.56348,161.80226,143.55052,173.70276
50,141.7066,144.80222,161.12068,142.81189,173.70863
51,142.00662,144.5522,161.12204,142.96878,173.64519
52,143.16057,145.72542,162.04202,144.28952,173.27914
53,145.44048,147.95091,163.61444,146.37813,172.87067
54,148.42271,151.61578,165.53897,149.01231,172.47456
55,151.07457,155.52356,167.42407,151.78873,171.83488
56,152.70059,158.65419,168.71149,154.02766,171.08415
57,153.60428,160.90376,169.33984,155.74745,170.32922
58,153.80583,162.27449,169.4105,156.98404,169.67712
59,153.43451,162.79485,169.13747,157.8252,168.9037
60,152.87128,162.94781,168.80785,158.32837,168.1516
61,152.22675,162.73178,168.5297,158.52795,167.58208
62,151.45396,162.53635,168.30577,158.6401,167.2623
63,150.77548,162.20428,168.16402,158.74084,166.92682
64,150.3038,162.12967,168.06131,158.94467,166.5983
65,149.98195,161.90121,167.9681,159.08601,166.45245
66,149.74936,161.80516,167.92671,159.13263,166.4025
67,149.4079,161.591,167.90977,159.1805,166.2822
68,149.10185,161.44075,167.90247,159.24379,166.34601
69,149.09462,161.42403,167.90436,159.34967,166.39357
70,149.05676,161.2765,167.93384,159.27383,166.65268
71,149.03215,161.24518,167.9875,159.26695,166.80746
72,149.0143,161.11461,168.09013,159.16908,167.1057
73,149.28313,161.14775,168.24321,159.03436,167.61914
74,149.22389,160.89038,168.50073,158.81064,168.0175
75,149.60034,160.93533,168.8767,158.55565,168.57213
76,150.25856,161.0437,169.2979,158.07492,169.32695
77,150.92534,161.09688,169.68706,157.333,170.07907
78,151.83176,161.14351,169.76442,156.2747,170.95824
79,151.84311,160.47862,169.30377,154.62949,171.79958
80,150.79901,158.1118,167.94206,152.06662,172.60696
81,148.65366,154.43451,165.84013,148.9165,173.41454
82,145.96432,150.48232,163.61957,146.1012,174.00288
83,143.41338,146.41249,161.62814,143.57068,174.41818
84,141.96075,143.71318,160.37228,141.90611,174.67184
85,142.36867,143.80307,160.40932,141.99774,174.74565
86,143.30907,144.61586,161.07147,142.90436,174.65309
87,144.6254,146.41318,162.56013,144.79747,174.13107
88,147.54054,150.4208,164.5067,147.4978,173.73045
89,150.09233,154.35378,166.45695,150.38483,173.03589
90,151.53738,157.34956,167.73047,152.58102,172.34029
91,152.0796,159.31494,168.6066,154.40146,171.36868
92,152.13152,160.23466,168.8897,155.5907,170.59912
93,151.33087,160.08337,168.81601,156.37392,169.66217
94,150.51381,159.75119,168.60132,156.91185,168.73055
95,149.5747,159.18477,168.42764,157.0702,168.04645
96,148.95673,158.83513,168.29335,157.33568,167.41359
97,148.38188,158.40347,168.17477,157.51753,167.01611
98,147.72116,157.87129,168.13824,157.67679,166.38274
99,147.35802,157.40756,168.1552,157.66803,166.0416
100,147.028,157.21492,168.17165,157.71556,165.80191
101,146.77696,156.87726,168.19406,157.65097,165.46954
102,146.88564,156.64253,168.19681,157.55995,165.35532
103,146.60216,156.49457,168.21635,157.4384,165.12805
104,146.70145,156.37541,168.20253,157.27385,165.15112
105,146.83194,156.27225,168.2125,157.06915,165.15874
