Frame,Right_Knee,Left_Knee,Right_Hip,Left_Hip,Spine_Lean
0,148.87148,147.58922,161.47322,154.88477,146.07736
1,149.74524,148.84981,161.52196,155.16609,146.14273
2,150.74686,150.09772,161.60974,155.41632,146.39636
3,151.21873,150.97453,161.82455,155.6272,146.94417
4,151.32515,151.4473,162.3363,155.66165,147.79254
5,150.5313,151.4221,163.27908,155.47641,148.85538
6,149.67645,150.56061,164.41458,155.05856,150.19722
7,148.85332,148.50385,165.80199,154.2154,151.8803
8,148.1001,144.67207,167.1896,152.60258,153.6479
9,147.72165,139.98299,167.78903,150.30145,155.41582
10,145.95428,133.48152,166.78793,147.25624,157.00122
11,141.91954,126.058876,164.06192,143.65575,158.42142
12,136.72351,118.18263,160.41176,139.97913,159.6459
13,131.7342,111.28405,156.69147,136.5681,160.56732
14,127.27935,104.869576,153.36891,133.54749,161.30849
15,123.23824,98.603424,150.67279,131.11346,161.79378
16,119.24851,93.01627,148.51405,129.09169,162.16441
17,116.29121,88.9303,147.4852,128.1453,162.32709
18,115.22281,87.007545,147.65417,128.22269,162.31958
19,115.99693,88.41027,149.27869,129.39192,162.1917
20,118.58935,91.5249,151.88455,131.33366,162.07195
21,122.88385,97.22955,155.38104,134.0266,162.04
22,127.836845,104.88138,159.41762,137.44841,161.89326
23,133.01013,114.41606,162.8641,140.9476,161.66063
24,137.15126,123.86531,165.08754,144.138,161.03462
25,140.75243,132.68678,166.11041,146.97765,160.23764
26,143.32463,139.36563,166.09924,149.27438,159.25325
27,144.88373,143.52173,165.38705,150.83163,158.3348
28,145.89381,146.15245,164.5855,151.80946,157.52007
29,146.1308,147.3446,163.87088,152.40067,156.94987
30,145.75404,147.64928,163.3617,152.61105,156.76169
31,144.91652,147.44656,163.03242,152.535,156.89131
32,143.64758,147.05737,162.8772,152.40594,157.07306
33,142.15971,146.278,162.82698,152.10933,157.43452
34,140.53912,145.36398,162.88107,151.7761,157.91187
35,138.96693,144.41309,162.9722,151.41394,158.3603
