Frame,Right_Knee,Left_Knee,Right_Hip,Left_Hip,Spine_Lean
0,164.1595,168.10678,151.75272,162.37958,162.85098
1,167.8216,162.45924,152.07074,163.50496,162.34207
2,167.06245,161.69325,154.34988,166.97958,162.26994
3,168.14677,152.96997,154.588,165.19861,162.07811
4,168.34651,149.03125,155.32439,163.29468,162.39566
5,169.75769,150.86516,155.41492,162.44191,162.47946
6,172.28497,145.81476,155.65222,159.40231,162.8367
7,171.86568,142.06384,156.79984,161.24667,162.75703
8,172.55806,140.7206,157.6838,159.37787,163.17668
9,174.60672,140.4821,157.45274,151.44289,164.33153
10,174.07698,137.11111,158.30656,147.76874,164.62439
11,172.25478,134.65018,159.7097,147.98265,165.14989
12,168.11403,130.59734,160.89885,148.1574,166.27132
13,161.68999,126.40573,163.15495,150.83891,167.43115
14,156.85583,120.245445,165.11285,149.18207,168.2249
15,148.73416,112.658295,166.84013,142.93053,169.199
16,136.69937,106.23243,168.10391,136.31221,170.57213
17,117.8605,96.145195,168.96573,129.39886,171.2509
18,100.08269,80.083405,166.27782,122.59629,171.01564
19,84.31882,67.18623,159.71478,116.86644,170.06587
20,75.80881,62.507,157.42273,114.79471,169.8029
21,76.18818,60.659653,156.28645,113.86885,169.654
22,80.21751,63.97012,159.0428,115.817215,169.925
23,94.280334,72.81968,163.53473,120.03778,170.62411
24,110.661736,84.7337,168.45572,124.551865,171.2387
25,129.30933,96.53441,170.8636,130.81934,171.5486
26,144.70035,106.21496,168.33473,142.81348,171.61937
27,153.20319,112.8648,161.70972,148.83916,170.21552
28,157.24028,115.59666,158.48618,150.02379,168.37427
29,156.6604,113.791245,159.67628,151.50436,167.32608
30,154.6457,113.10661,161.44508,148.01971,165.70953
31,155.25626,113.72824,162.73149,148.03531,165.51758
32,153.62851,113.78979,164.03568,147.12555,165.89735
33,150.14752,112.79665,164.00813,144.37206,165.82162
34,149.30615,113.20506,164.30132,143.93658,166.3006
35,149.25809,112.18711,165.19789,144.45331,167.20807
36,148.3024,111.410774,165.93388,143.52461,167.49536
37,148.16965,110.70578,164.99684,141.18779,167.87593
38,145.23271,109.81558,163.68967,139.8275,168.27927
39,147.04803,111.172104,165.39188,145.04837,169.65593
40,144.52716,109.58105,166.64133,145.68016,170.79326
41,137.09946,106.554565,168.51012,141.58171,171.95091
42,126.67585,102.03178,167.48456,133.39476,172.19568
43,112.699745,93.8355,166.37277,126.65193,172.00606
44,96.613304,82.57071,164.03229,120.28076,170.58733
45,81.48142,70.73551,159.00333,114.60524,169.06973
46,68.323524,62.02568,153.46188,109.717636,167.5442
47,60.861626,58.18588,147.86714,105.640114,166.45378
48,58.571682,57.292526,145.26845,103.33235,165.72237
49,61.528473,57.572807,147.03537,105.26251,165.72284
50,68.6861,61.87899,150.18436,108.76132,165.99391
51,79.42556,70.0294,156.04141,114.14599,167.74591
52,94.58384,82.94051,161.26012,120.783104,169.83606
53,109.18308,95.01258,164.0881,128.9865,172.03238
54,122.725746,106.17493,162.16785,137.52858,172.81732
55,131.65785,115.44131,158.77661,143.98637,170.52107
56,137.05374,124.8226,156.38641,151.1526,167.0894
57,145.35762,136.93625,157.34018,161.8629,164.66122
58,155.12457,146.30011,156.0406,153.68118,163.96431
59,159.35367,150.9745,155.36867,152.80946,163.55684
60,160.46484,154.04747,155.15086,153.38033,162.71489
61,161.00316,156.32404,155.18733,156.4417,162.13988
62,160.9844,157.42686,155.46121,164.5493,161.61504
63,160.14098,157.62802,154.43802,168.14696,160.77332
64,159.47603,158.13155,154.57799,167.23328,160.83867
65,159.27292,157.26942,155.48615,166.86517,160.39192
66,153.09024,156.1504,155.22229,164.44928,159.71606
67,148.87105,151.7232,153.66875,155.33105,159.70158
68,148.02846,149.29262,153.18251,154.90332,159.63545
69,148.87932,149.44757,153.30763,157.95012,160.27367
70,155.60077,145.59402,155.04112,162.94283,162.23232
71,157.93338,140.19746,156.63841,151.96872,164.14436
72,154.82951,138.08014,158.6995,149.80188,166.26254
73,147.80176,131.28255,161.52002,148.90016,168.80838
74,137.9184,125.94245,165.81314,148.42047,172.1449
75,120.61485,112.74382,166.606,143.31363,174.45857
76,98.57182,91.4248,162.24323,128.29417,173.20927
77,81.75629,78.42564,157.92326,119.36189,171.46645
78,71.514465,71.27003,155.13785,114.21717,170.38318
79,69.30215,69.45575,153.36673,111.748436,170.47433
80,71.122284,69.1804,153.48972,111.04632,170.70097
81,76.975,72.054825,155.1466,112.145584,171.50037
82,87.94192,78.57399,159.65648,115.70269,172.06686
83,102.358215,90.27843,164.6478,124.53318,172.96506
84,116.32059,102.49164,167.62712,134.18362,172.27922
85,128.9626,117.162575,167.28474,146.29953,169.68488
86,141.7706,134.82283,161.52904,154.11096,166.68898
87,157.75055,144.8917,154.86302,145.37427,163.10732
88,167.98218,153.0537,152.46605,143.52754,161.00648
89,174.26953,157.50127,151.43991,144.95619,159.27893
90,175.3428,162.19392,151.2086,147.8781,158.64426
91,174.37883,167.3796,151.62991,152.01062,157.90315
92,173.50652,170.1862,152.4441,158.12924,157.72545
93,172.82841,173.62187,152.81293,161.29974,158.05922
