Frame,Right_Knee,Left_Knee,Right_Hip,Left_Hip,Spine_Lean
0,156.38225,151.42596,154.52455,149.79993,173.62056
1,155.86298,152.04399,154.79474,149.91888,174.08432
2,154.98894,152.67097,155.56956,150.55861,174.83931
3,154.43791,153.7536,155.7088,151.46745,175.28473
4,152.77121,152.20053,157.20453,154.3796,175.95102
5,146.20369,145.84807,161.62708,160.49857,176.05742
6,134.25919,135.01985,165.61636,166.00017,176.51743
7,120.85872,124.448265,162.864,163.98373,176.43613
8,108.744354,113.10526,153.9019,154.40126,175.87323
9,101.088615,105.10918,144.3395,144.4025,175.01665
10,95.11829,99.71048,135.78021,135.6838,174.68083
11,89.776985,95.10372,128.211,128.34848,175.08493
12,86.14281,91.92443,121.70414,122.14749,174.71024
13,83.41049,89.253426,117.54054,118.228355,175.30234
14,81.34928,87.05567,115.30849,115.767,175.41917
15,79.95,85.42987,112.904594,113.15371,175.16304
16,79.19791,84.44578,112.42953,112.514435,174.97421
17,79.103935,83.93188,112.67045,112.48335,175.16884
18,80.069214,84.2551,113.38526,113.40907,175.07065
19,82.0084,85.37595,115.72288,115.71092,174.52875
20,85.35492,88.103584,119.65428,120.24992,174.55971
21,91.08746,93.32672,127.81526,129.55081,173.86476
22,100.52591,103.55309,141.18202,144.30368,172.81757
23,116.29643,120.702225,160.20074,162.23401,172.91472
24,133.21645,138.4615,154.05093,152.44815,170.46397
25,140.66508,145.98386,148.83195,144.53029,167.50305
26,140.12648,144.72429,148.8997,142.95058,168.44511
27,138.41884,142.51874,151.06834,144.05101,168.23006
28,137.70502,141.9617,152.87608,145.89288,170.34319
29,136.4567,141.27672,155.35019,148.92836,171.60143
30,135.23431,139.7201,157.68265,152.81636,173.27144
31,132.13272,137.12389,161.14343,159.05933,174.28494
32,122.7424,128.08034,165.04977,163.35529,175.6745
33,110.35263,116.6643,159.06477,156.88087,175.73611
34,99.601074,106.652596,145.71582,144.05244,175.54636
35,91.12047,98.19837,133.2033,132.00641,174.58405
36,84.912834,92.64627,123.98885,123.21234,174.39426
37,80.60788,88.54134,117.76573,117.17101,174.67984
38,77.334465,85.229866,113.00893,112.26871,175.04599
39,75.68486,82.95295,110.73722,109.73151,175.70108
40,75.087036,81.71683,109.51933,108.58996,175.44379
41,76.12744,81.14056,110.01732,109.24475,175.74187
42,78.73377,82.358475,113.20608,112.508675,175.72585
43,83.870125,85.688416,121.51992,120.82069,174.78409
44,93.07234,93.39631,136.07375,136.16844,175.59612
45,105.60836,105.24704,153.07312,153.56761,178.08286
46,120.48733,120.58097,153.10855,150.54738,173.1803
47,132.7334,133.78738,145.09413,140.02284,167.74576
48,138.06042,138.8055,141.26991,134.48372,167.47496
49,139.75423,140.48007,140.83557,132.9285,167.82086
50,140.15758,141.82298,142.62808,134.5584,167.47212
51,139.84276,142.0047,145.58183,137.60771,169.06679
52,139.32312,142.3949,148.22415,141.58102,170.37843
53,135.37999,138.12366,153.718,148.9128,172.48586
54,127.275375,129.79333,160.93282,157.6929,172.0592
55,112.82183,116.21016,163.02328,160.12578,172.02057
56,101.17338,104.37674,151.99841,149.29762,171.12514
57,94.157104,96.72634,139.87962,137.55855,169.39018
58,87.71173,91.43691,129.3261,127.55869,171.25356
59,82.10964,87.1263,121.73768,120.505295,172.43901
60,78.72263,84.28253,113.72903,113.220566,173.63289
61,76.3114,82.10047,109.708824,109.36946,174.68657
62,75.34229,80.59285,107.11301,107.06686,175.8382
63,75.14381,79.633354,106.10373,106.47054,176.37636
64,76.104454,79.45204,106.85857,107.611275,176.26848
65,77.80843,79.8706,109.88121,111.14406,175.87593
66,81.44258,82.39732,114.59328,116.748024,175.12444
67,87.496124,87.20511,125.24393,128.4939,174.63063
68,96.63966,95.163506,140.97711,145.53217,172.66252
69,109.35156,106.50641,157.86922,160.89687,172.04831
70,124.10151,119.049416,157.88475,156.36214,171.57146
71,135.16483,130.2483,151.12012,146.86859,170.72525
72,139.26128,134.491,146.31795,141.29155,170.16397
