Frame,Right_Knee,Left_Knee,Right_Hip,Left_Hip,Spine_Lean
0,164.98947,177.14212,144.99411,165.43526,177.48207
1,165.032,177.11826,144.8191,165.25107,177.51218
2,165.05145,177.0061,144.63033,165.0346,177.57335
3,164.95311,176.85994,144.37868,164.67451,177.5773
4,164.81314,176.56926,144.08376,164.21034,177.6859
5,164.45392,176.00354,143.69508,163.53207,177.80322
6,163.92314,175.28378,143.22084,162.71277,177.94005
7,163.2272,174.15987,142.64212,161.57242,178.04445
8,162.05072,172.3899,141.78459,159.98674,178.1102
9,160.52916,170.08417,140.67735,157.8359,178.21841
10,158.65683,167.32036,139.1577,155.23076,178.29877
11,156.02061,163.89879,137.06273,151.94144,178.4615
12,153.13405,160.23712,134.74805,148.24532,178.6152
13,149.85408,156.50769,131.89323,144.39035,178.78677
14,146.02802,152.51665,128.70724,140.2519,178.99205
15,142.34357,148.67928,125.50879,136.27231,179.1952
16,138.3911,144.7074,122.071754,132.30026,179.38293
17,134.25998,140.65501,118.458534,128.29504,179.50583
18,130.19218,136.83595,114.91044,124.55349,179.5463
19,126.2252,132.86551,111.50632,120.99625,179.51302
20,122.14869,128.58511,107.92256,117.38213,179.49602
21,118.18097,124.5333,104.52692,114.0118,179.46405
22,114.3868,120.24413,101.28566,110.798935,179.46004
23,110.61567,115.55933,97.88493,107.46941,179.47736
24,107.037605,110.94246,94.77173,104.21649,179.44081
25,103.70682,106.366646,91.719986,101.16657,179.3826
26,100.51328,101.72172,88.79886,98.03814,179.27019
27,97.569565,97.18094,86.03557,95.07057,179.08871
28,94.857735,92.90484,83.56155,92.3154,178.91393
29,92.21968,88.64413,81.0915,89.482124,178.73328
30,89.864235,84.708145,78.94225,86.92023,178.60507
31,87.64743,80.91446,76.90245,84.47044,178.44934
32,85.4713,77.3742,74.84788,82.08637,178.2889
33,83.3451,74.09481,73.024536,79.69596,178.1409
34,81.35617,71.094955,71.238365,77.352455,177.98277
35,79.46997,68.31079,69.48651,75.01093,177.84404
36,77.71667,65.88951,67.93751,72.881874,177.77322
37,76.24955,63.883057,66.474976,70.826805,177.66527
38,74.82495,62.090706,65.20127,68.91465,177.5488
39,73.62824,60.512863,63.913696,67.2787,177.50433
40,72.57197,59.339954,62.816414,65.74847,177.3882
41,71.630165,58.280483,61.774933,64.361305,177.32892
42,70.93702,57.41814,61.001804,63.144794,177.228
