Frame,Right_Knee,Left_Knee,Right_Hip,Left_Hip,Spine_Lean
0,122.715996,117.49714,107.48575,111.92782,178.8058
1,121.296,116.40255,106.8346,111.36793,178.8989
2,119.071434,115.0773,105.70672,110.60023,179.0658
3,116.708435,113.50044,104.35974,109.78016,179.1067
4,113.82243,111.20371,102.83767,108.55517,179.1952
5,110.795555,108.306786,101.19089,106.78317,179.16466
6,107.35354,104.964386,99.38991,104.94354,179.19594
7,103.495224,101.40907,97.55078,102.88504,179.25795
8,99.59349,97.45037,95.44552,100.60994,179.35078
9,95.69553,93.271286,93.23729,98.234406,179.41348
10,91.85652,88.933464,91.13917,95.91324,179.4914
11,88.41107,84.531044,89.15035,93.49285,179.57341
12,84.81897,80.21846,87.14543,91.28033,179.65338
13,81.37062,75.82004,85.31369,89.011475,179.66022
14,78.005135,71.76033,84.08841,87.45921,179.68658
15,74.52565,67.928825,82.97931,85.98817,179.68784
16,71.23326,64.54161,81.92827,84.7198,179.72876
17,67.96105,61.511314,80.93917,83.8061,179.87645
18,64.61844,59.014347,80.04117,83.42026,179.87805
19,62.142143,56.62106,79.26794,82.661964,179.85735
20,59.93971,54.49675,78.41143,81.88614,179.77971
21,58.138924,52.71442,77.59348,81.32105,179.7626
22,56.53664,51.521698,76.5324,80.72428,179.75291
23,55.708622,50.70267,75.625595,80.268295,179.88464
24,55.03858,50.175842,74.54015,79.744156,179.81549
25,55.048347,50.08509,73.34381,79.08945,179.4557
26,55.77682,50.80061,72.55493,78.86276,179.05829
27,57.606857,52.120167,72.74303,79.45348,178.70607
28,60.495064,54.156975,73.42987,80.20679,178.31332
29,64.94933,57.592964,74.98173,82.05934,177.9648
30,70.1465,61.5641,77.4698,84.413055,177.56593
31,76.07918,66.6937,80.551346,87.671165,177.19124
32,82.471146,72.74712,84.78708,91.39941,176.77524
33,89.65947,79.59102,89.89099,95.91836,176.60886
34,96.59014,87.198845,95.66573,101.319595,176.29404
35,103.7644,95.290085,102.27923,107.20062,176.41515
36,110.55804,103.69543,109.17563,113.645134,176.49106
37,117.09235,111.763535,116.35213,120.69609,176.51968
38,123.7934,120.83063,124.326294,128.85004,176.61603
39,130.14038,130.34622,132.63284,137.10573,176.65497
40,135.75172,138.47173,140.40306,144.95784,176.69565
41,140.68202,145.25758,147.63676,151.70723,176.78088
42,144.85464,151.12784,154.58263,157.8007,176.9911
43,147.91034,155.36755,160.24495,162.34492,177.05888
44,150.06998,157.70656,164.88292,165.81035,177.14178
45,151.5779,159.1862,168.80922,168.05083,177.18283
46,152.63242,160.49498,171.93813,169.29582,177.18436
47,153.29874,161.15228,174.29105,169.75922,177.21744
48,153.8822,161.45547,175.91026,169.82643,177.15366
49,154.16124,161.21066,177.11005,169.6733,177.11662
50,154.39854,160.71516,177.92293,169.66064,177.12764
51,154.55739,160.59134,178.55598,169.78494,177.12587
52,154.65738,160.56967,178.9713,169.90216,177.16228
53,154.56502,160.89249,179.14682,169.7107,177.26999
54,154.5984,161.12723,178.9622,170.3061,177.31328
55,154.44121,161.14919,178.15921,170.69185,177.37468
56,154.21317,162.0203,177.02092,170.95662,177.36255
57,154.03094,163.33124,175.29889,171.03441,177.41774
58,153.78392,164.50233,173.06404,170.84204,177.44159
59,153.84178,165.58566,170.05011,170.18596,177.50793
60,153.92522,165.60678,166.36313,168.3798,177.52109
61,154.12968,164.82843,162.1029,165.41133,177.51312
62,154.45895,162.40988,156.7293,161.31221,177.48534
63,153.67206,159.42462,151.50262,156.74727,177.5424
64,152.28152,155.57643,145.74237,151.9547,177.58322
65,149.84483,150.54297,139.46393,146.46231,177.56169
66,146.19435,145.60892,133.93396,141.36455,177.59059
67,142.46902,140.32771,128.69318,136.60074,177.91136
68,138.18852,134.72824,123.73995,131.8281,178.19084
69,133.33649,129.10486,118.82216,126.972664,178.22226
70,128.83249,124.07868,114.48567,122.83565,178.50655
71,124.306595,118.67259,110.54472,118.60717,178.54504
72,119.9765,113.54497,107.06683,114.89941,178.326
73,116.04771,108.82356,104.11902,111.35512,177.92123
74,111.668175,103.94541,101.266975,107.915146,177.47299
75,107.66413,99.26953,98.74301,104.76957,177.09943
76,103.793594,94.715256,96.33082,101.68327,176.82744
77,99.99003,90.04067,94.156555,98.47604,176.63257
78,95.87313,85.738335,92.09087,96.089005,176.4708
79,91.70243,81.18437,90.27712,93.37963,176.28934
80,87.839806,76.947945,88.58118,91.01853,176.21518
81,83.49915,72.881935,87.185745,88.94299,176.20006
82,79.73692,69.19144,85.94313,87.286354,176.21037
83,75.777985,65.706314,84.54479,85.68863,176.31973
84,72.26198,62.458683,83.277374,83.85617,176.39777
85,69.16331,59.662273,81.99392,82.54717,176.52959
86,66.347145,57.28539,80.74946,80.89585,176.66112
87,64.01483,55.48922,79.69356,80.04802,176.75406
