Frame,Right_Knee,Left_Knee,Right_Hip,Left_Hip,Spine_Lean
0,76.26673,138.63554,88.23829,128.19969,177.45624
1,76.513435,139.85326,88.90337,128.02138,177.05583
2,79.8959,146.02663,92.69412,130.47021,175.58563
3,80.37821,151.04747,92.54453,133.10393,174.30089
4,84.750595,157.37862,95.27671,133.05937,171.83719
5,85.428856,150.70648,93.6917,127.86745,171.86824
6,87.981415,162.27371,95.16401,132.85489,170.4051
7,90.2537,155.57677,96.31056,126.29657,172.2737
8,89.36264,159.10309,96.12256,125.913414,171.98875
9,90.18717,153.73677,94.46401,121.1887,173.78885
10,88.629005,139.01582,90.98778,115.72407,175.4331
11,86.10266,133.16206,86.19126,110.06907,175.57153
12,80.53847,119.760445,80.28365,102.71939,175.74792
13,75.80648,105.993774,74.9864,95.442055,175.98834
14,72.662025,104.15861,70.1001,89.90565,175.38878
15,70.87893,81.0836,65.506004,85.42127,176.65485
16,66.9363,101.19467,61.92629,82.865135,176.03923
17,63.808647,89.211006,57.87993,83.368,176.86475
18,59.502472,90.263084,54.625366,90.250824,177.89047
19,54.21919,85.59509,51.292923,81.9331,178.81221
20,51.589996,79.35694,48.189964,77.747795,179.03065
21,49.506687,92.28053,46.736694,86.95288,179.13316
22,47.396492,106.07614,45.873066,94.35076,178.62941
23,47.296116,109.076584,45.80594,96.97198,178.50302
24,46.8713,103.0669,46.115932,96.88673,178.92117
25,47.85179,110.21989,47.68224,99.263336,178.50262
26,49.73325,104.94986,50.185852,99.85435,178.4825
27,51.29681,96.93474,53.67691,91.64591,179.01106
28,53.426758,86.69483,57.870167,84.795525,179.2493
29,56.810993,89.37068,63.63765,85.81459,179.28235
30,61.31034,97.80368,70.00293,89.65315,178.98143
31,65.882706,103.555824,76.5656,95.08412,178.61082
32,72.34907,113.132774,84.19567,100.48978,177.17429
33,77.61499,130.51642,89.12819,105.53861,176.32529
34,81.620316,130.38243,94.08225,110.4405,174.85448
35,87.15407,148.66891,96.869644,120.01177,176.18771
36,91.395996,161.33556,98.9783,129.01259,175.40508
37,99.98453,163.69104,102.60652,134.2466,175.7494
38,107.04486,167.09004,106.14203,137.06622,173.97292
39,112.910446,169.28152,109.34878,138.31169,172.75575
