Frame,Right_Knee,Left_Knee,Right_Hip,Left_Hip,Spine_Lean
0,166.36513,161.70164,162.72932,132.15587,176.38626
1,166.55663,162.00224,162.8779,131.89465,176.73128
2,167.70308,161.9444,163.08035,131.65268,176.93172
3,167.59741,162.13596,163.33621,131.70392,177.13919
4,169.34697,162.27881,163.57518,131.76006,177.36292
5,170.79669,162.26942,163.85909,131.94888,177.5398
6,171.98795,162.8531,164.14673,132.07631,177.81456
7,173.10643,162.8091,164.35588,132.10599,178.08775
8,173.78523,163.21312,164.47159,131.9629,178.36505
9,173.0569,164.03665,164.69218,132.22961,178.88092
10,172.15259,164.55013,164.54214,131.88841,179.40257
11,169.64894,165.11963,164.35663,131.44536,179.90309
12,167.9509,165.32228,164.02193,131.0801,179.44292
13,166.17317,164.74345,163.0089,130.46085,178.81172
14,164.80624,163.62941,161.71506,129.46313,178.0306
15,164.22527,161.40909,159.80818,128.14517,177.37729
16,164.47633,157.43108,156.82234,125.774635,176.61787
17,164.52473,151.39565,153.00992,122.557686,175.92119
18,164.10452,143.24297,147.94376,118.01096,175.35936
19,160.21288,133.02518,141.91467,112.797516,174.85909
20,151.20628,121.4904,134.86317,106.21181,174.35007
21,140.42964,110.06574,127.64186,99.44511,173.93391
22,128.80284,100.12494,120.3132,92.898705,173.70406
23,115.65009,90.51441,113.09982,86.51612,173.62962
24,106.09564,83.39871,106.7229,81.17823,173.63026
25,99.58298,78.16282,101.39877,76.74841,173.58502
26,94.455666,73.96566,97.07619,73.32392,173.64668
27,89.78067,71.47874,94.03811,70.863045,173.73029
28,88.815475,69.96999,92.2792,69.435165,173.86806
29,88.12257,69.365974,91.71686,68.77409,174.02988
30,90.66892,69.90897,92.729706,69.43631,174.17294
31,92.777214,70.83641,94.72379,70.592026,174.40038
32,98.33238,73.746,98.48361,73.15872,174.50163
33,107.29655,78.965355,103.91467,77.00443,174.62779
34,116.676765,86.55438,110.70274,81.81814,174.81549
35,126.67237,96.796616,118.570946,88.2563,174.95732
36,140.27649,111.0784,127.74232,95.8023,174.95775
37,153.34879,126.116455,137.37625,104.00027,174.71184
38,163.20589,140.24496,145.83336,111.13527,174.9089
39,166.93556,150.81346,152.39435,116.48904,175.59064
40,167.37843,158.75673,157.49507,120.63265,176.57634
41,166.67123,163.99164,161.02518,123.39942,177.62265
42,167.30067,166.35918,163.50815,125.35454,178.60254
43,167.81987,167.23018,165.14711,126.946106,179.11154
44,168.85628,167.59143,166.3054,128.30617,178.93651
45,169.81248,167.41109,166.95012,129.57129,178.47838
46,173.36644,167.04968,167.38947,130.38663,177.96721
