Frame,Right_Knee,Left_Knee,Right_Hip,Left_Hip,Spine_Lean
0,169.42963,157.16615,161.223,164.6035,177.43784
1,169.49614,156.9975,161.05232,164.52571,177.54042
2,169.58328,156.98811,160.9476,164.38513,177.64299
3,169.69003,157.13675,161.06807,163.62695,177.88057
4,169.74452,157.05772,160.87447,163.53665,177.95952
5,169.82375,157.11732,160.8049,163.42134,178.00336
6,169.87448,156.35345,160.35419,163.5448,178.18016
7,170.01556,156.39941,160.57503,163.5769,178.22568
8,170.09955,156.21936,160.58665,163.8185,178.24597
9,170.16588,156.1566,160.50198,163.97495,178.31844
10,170.21252,155.97243,160.39517,164.05684,178.40712
11,170.2784,155.66553,160.27689,164.24077,178.37068
12,170.39339,155.66357,160.39667,164.31621,178.50066
13,170.46454,155.31644,160.3657,164.48038,178.52913
14,170.53456,155.13254,160.18579,164.512,178.47607
15,170.65442,155.06589,160.18044,164.88263,178.46455
16,170.75879,155.00354,160.14482,164.988,178.45515
17,170.84767,154.88669,160.04837,165.04338,178.30856
18,170.96281,154.6711,160.16402,165.02222,178.25023
19,171.06552,154.42998,160.26088,164.88777,178.14575
20,171.13893,154.0507,160.27687,164.73495,178.01593
21,171.1683,153.89542,160.23859,164.46747,177.93095
22,171.15433,153.54776,160.18855,164.19585,177.85315
23,171.0831,153.44353,160.08566,163.98865,177.79716
24,170.98547,153.16855,160.1053,163.51814,177.73453
25,170.97708,152.8378,160.13083,163.40846,177.72685
26,170.94643,152.61131,160.04404,163.18639,177.73868
27,171.15556,152.17453,160.08525,163.18007,177.78326
28,171.2592,151.81813,160.18353,163.0188,177.84068
29,171.34776,151.54985,160.1807,162.781,177.93037
30,171.3334,150.93193,160.10847,162.57971,178.00404
31,171.11458,150.32376,159.79646,162.52051,177.95244
32,170.56432,149.74301,159.49916,162.2498,178.08807
33,169.81775,148.94537,158.9777,161.989,177.97977
34,168.65088,148.13469,158.28355,161.7626,177.92058
35,166.64682,147.51878,157.33012,161.32545,177.85771
36,164.50027,147.00804,156.00175,160.76622,177.83571
37,160.92381,146.63231,154.3886,159.41812,177.74936
38,157.2019,146.19774,152.12854,157.6983,177.62883
39,152.70064,145.68759,149.285,155.27907,177.58095
40,146.4322,144.96579,145.57108,151.58075,177.72401
41,141.0766,143.53879,141.23224,146.93285,177.72633
42,135.1492,141.48131,136.35753,141.27695,177.99016
43,128.28397,138.82883,130.93979,135.08685,178.32379
44,122.13939,135.26642,125.72703,128.9189,178.44757
45,115.81644,130.68867,120.56174,122.682236,178.19963
46,109.420746,125.16195,115.43309,115.94908,177.72652
47,102.88058,119.3982,110.323166,109.586365,177.2109
48,97.00715,113.17604,106.07373,103.64918,176.56361
49,91.460396,107.36271,102.27491,98.44771,176.04135
50,86.94855,102.87464,98.85897,94.126175,175.42036
51,83.567825,99.48911,96.5427,90.76913,174.73439
52,81.285095,97.45024,94.897705,88.66752,174.32327
53,80.417915,97.065,94.47499,88.000786,174.16678
54,81.33168,98.211876,95.13779,88.643456,174.2559
55,83.48094,101.1972,96.75087,90.97145,174.55843
56,86.99395,105.11677,99.53458,94.35423,175.21701
57,91.16444,109.875626,102.833694,98.825134,175.98766
58,96.47883,115.055695,106.94672,104.026886,176.73386
59,102.40665,120.178154,111.725235,109.64415,177.51407
60,109.03661,125.08983,116.97555,115.632416,178.21556
61,116.14087,129.98985,122.46594,121.923485,178.69778
62,124.61238,135.13121,128.61374,128.36931,178.82997
63,133.38246,139.8585,134.66985,134.9807,178.60886
64,142.4334,144.35669,140.80643,141.47273,178.23907
65,150.73706,148.34758,145.84615,147.65715,177.81268
66,158.38315,150.57791,149.81253,153.01666,177.11906
67,164.64966,151.82906,153.06389,156.91446,176.32922
68,169.2895,152.42197,155.50966,159.75854,175.61032
69,172.33623,152.58841,157.07422,161.64426,175.31601
70,174.61641,152.69275,158.33878,162.73668,174.95833
71,175.98537,152.96582,159.3265,163.46796,174.85338
72,176.8509,153.20671,159.69766,163.8334,174.72014
73,177.0999,153.49762,160.09074,164.20726,174.45981
74,177.29485,153.72363,160.38843,164.43832,174.53076
75,177.10802,153.80713,160.6552,164.49199,174.24026
76,177.00742,153.98853,160.63423,164.54514,174.35638
77,177.02731,154.09909,160.68007,164.62839,174.41962
78,176.80089,154.11002,160.66931,164.74683,174.4916
79,176.79387,154.06868,160.56602,164.70302,174.53911
80,176.96062,153.78384,160.19615,164.67502,174.63965
81,176.56892,153.53526,159.71999,164.56442,174.82716
82,176.11174,153.2243,159.06795,164.26288,175.06517
83,175.30164,152.92247,158.29979,163.4437,175.39542
84,173.87254,152.42384,157.0974,162.3272,175.86838
85,171.67903,151.90486,155.33003,160.62144,176.41885
86,169.00679,151.33635,153.38776,158.57156,177.0374
87,164.58813,150.50096,150.67278,156.00247,177.75484
88,159.84352,149.69344,147.6833,152.70012,178.68553
89,153.62582,148.35269,143.95511,148.52841,178.97054
90,146.23657,146.36644,139.61638,143.8292,178.78468
91,138.21684,143.51714,135.07147,139.00531,178.36458
92,129.31386,140.02412,129.8645,133.46223,178.06587
93,121.291504,135.27003,124.94156,127.78894,177.8092
94,113.57537,130.22865,120.02091,122.547874,177.16945
95,106.50022,124.32554,115.19894,116.69302,176.3104
96,99.83988,117.56868,110.51461,110.43034,175.6688
97,94.264984,110.98628,106.07397,104.80013,175.24219
98,89.49379,105.21442,101.897705,99.63537,174.80392
99,85.120636,99.16348,98.0554,94.76543,174.46129
100,82.43738,94.22124,95.4087,90.884186,174.5923
101,80.4012,90.47032,93.01425,87.505165,174.38786
102,79.3332,88.84441,91.7189,85.360725,173.79274
103,79.80608,88.955055,91.91775,84.646736,173.71698
104,80.10227,91.25462,92.238434,85.70323,173.76958
105,80.44971,95.304886,92.77361,88.2338,174.18587
106,82.68159,100.33468,95.30826,92.05486,174.73686
107,86.78207,106.32994,99.16004,96.939026,175.48807
108,92.46954,112.70219,104.269684,103.237175,176.3008
109,99.58239,119.34173,110.44301,110.31275,177.10599
110,108.73836,125.16422,117.719315,117.71243,177.81482
111,119.820496,131.32602,126.05296,125.45792,177.91794
112,132.68248,137.0098,134.86745,133.05775,177.64981
113,146.69122,141.41849,143.2558,140.02054,177.6625
114,157.89104,144.85074,149.34265,146.62198,178.26866
115,165.13808,147.36351,153.4019,152.53654,178.34116
116,169.52383,149.24052,156.40991,157.41873,177.83182
117,172.34981,150.20331,159.43784,161.1983,177.40912
118,174.51512,151.14738,161.96748,164.13043,176.88768
119,175.71632,151.49818,163.8564,166.19864,176.61041
120,176.28157,151.79825,164.58769,167.5462,176.46127
121,176.53242,152.08014,164.47139,168.25839,176.47456
122,176.6263,152.2062,164.10248,168.72052,176.53293
123,176.56766,152.3064,163.31232,168.93306,176.20274
124,176.65999,152.5651,162.79106,168.87256,175.76372
125,176.51952,152.57689,162.13298,168.93044,175.54063
126,176.33072,152.73715,161.60371,168.91032,175.1449
127,176.10414,152.8289,160.98892,168.79129,175.36015
128,175.97372,152.81654,160.22182,168.80923,175.27855
129,175.76492,153.0646,160.0025,168.73636,175.45235
130,175.50804,153.01367,159.7604,168.81581,175.2157
131,175.32027,152.96312,159.66531,168.97736,175.1848
132,175.09084,153.06604,159.19508,169.13588,175.67935
133,175.04002,152.95924,158.5268,169.14758,176.342
134,174.90073,153.012,158.09404,169.06131,176.70549
135,174.93298,152.90573,157.82538,169.24295,176.93196
136,174.92027,152.90276,157.76268,169.4801,177.00148
137,174.79778,152.73508,157.57236,169.59166,177.02493
