Frame,Right_Knee,Left_Knee,Right_Hip,Left_Hip,Spine_Lean
0,104.81843,144.68396,121.65509,139.47888,171.84569
1,105.09766,147.62268,120.23979,138.85207,171.17027
2,105.382034,148.09824,118.87867,137.22153,170.47859
3,103.306465,147.74913,117.03766,134.86542,170.32524
4,100.778824,145.93224,114.29779,131.69958,169.67268
5,96.55354,138.6334,110.8844,126.651344,168.30794
6,92.376755,131.56879,107.64181,122.26669,168.2198
7,89.47974,127.25381,103.346695,118.20743,167.41849
8,86.26047,121.948006,99.63508,114.77407,167.4064
9,83.38549,115.66195,96.29561,111.88715,167.67592
10,80.64508,110.10683,93.35226,109.319496,168.19772
11,78.16648,104.64478,90.31021,106.74753,168.43152
12,76.111305,100.18736,87.86247,104.64001,168.92711
13,74.45307,96.100975,85.72426,103.01123,169.19023
14,72.86348,93.04992,84.10393,101.92146,169.52853
15,71.312,89.26858,81.95054,99.90506,169.53479
16,70.0068,86.270584,79.45561,97.45487,169.20093
17,68.903145,83.22012,76.67941,94.71124,169.0796
18,67.63107,80.39589,74.32664,91.90874,168.91415
19,66.72346,77.639244,72.49223,89.43877,168.77116
20,65.43888,75.54096,71.09543,87.51534,168.44933
21,64.132385,73.17769,69.34289,85.50527,168.5521
22,63.079773,71.50034,67.818275,83.39103,168.85454
23,62.135014,69.96328,66.833176,81.70704,169.23587
24,61.454185,68.485596,66.04909,80.20995,169.80026
25,61.300793,67.77913,65.7118,79.2769,170.39037
26,60.861588,67.05325,65.32473,78.62006,170.90901
27,61.42288,67.50191,65.62192,78.1878,171.42142
28,61.305855,67.77885,65.36988,78.27604,171.76839
29,61.514046,68.490265,65.42496,78.60817,172.05914
30,61.879345,69.476776,65.63716,79.1873,172.21477
31,62.441982,70.74109,65.98491,80.14709,172.45844
32,63.087257,72.44669,66.428734,81.33408,172.80507
33,63.714596,73.92423,66.99718,82.714516,173.2569
34,64.481316,76.07628,67.77828,84.37688,173.47633
35,65.48114,78.23725,68.89675,85.97408,173.84062
36,66.53081,80.45213,70.38803,88.24926,174.51059
37,67.40278,82.99277,72.07946,90.44048,175.00694
38,68.457825,85.034904,73.99143,92.560974,175.49884
39,69.63296,87.26284,76.25481,95.139114,176.15569
40,70.58155,89.150276,78.65402,97.69488,176.62015
41,71.84222,91.43566,81.01493,99.89419,176.8083
42,73.11622,93.342064,83.15779,101.65044,176.98656
43,74.49529,96.22114,85.743965,104.10513,176.87262
44,76.30051,99.477844,88.23634,106.32736,177.22137
45,78.051,102.74366,91.03427,108.878944,176.78282
46,79.957695,107.121414,93.89568,111.531166,176.45934
47,82.662506,111.57723,97.12642,114.57736,176.13638
48,85.30176,116.200554,100.80605,118.12137,175.52415
49,88.50621,120.51074,103.62078,120.82787,174.57388
50,91.43891,123.48527,108.54311,124.84716,174.53345
51,94.4563,128.57547,111.780396,128.41707,173.70125
52,97.726685,131.268,115.17567,131.41847,173.08575
53,102.758965,133.67378,120.72367,134.49442,173.77101
54,107.5111,136.43439,125.25891,137.7902,173.71893
55,112.51413,138.43294,128.82747,140.63141,173.89105
56,119.02483,139.71552,133.83424,143.40991,174.69548
57,124.62304,140.8336,137.59409,145.54416,174.67732
58,131.33392,143.10483,143.17497,147.55785,175.56645
59,138.36458,144.23747,148.34796,149.39961,175.72034
60,144.61794,146.60738,152.77493,150.7891,176.14314
61,151.09143,149.79951,156.00702,152.14203,176.74448
62,152.82446,152.41797,156.768,151.6028,176.81212
63,157.54427,156.48692,157.94293,151.15817,177.31802
64,159.91472,158.91896,158.20374,150.06853,177.09148
65,160.54156,160.87108,158.04689,148.10603,176.7288
66,162.09067,162.3969,158.02669,147.1121,176.76245
67,163.04283,163.42151,158.03204,146.36784,176.6092
68,163.64491,163.79904,158.2561,146.03981,176.53502
69,165.3159,164.02104,158.72318,146.08083,176.63179
70,164.7366,164.25127,158.8414,145.16728,176.15503
71,164.85078,164.86679,158.80273,144.58826,176.24693
72,165.89911,164.75458,159.46306,144.63576,176.1858
73,165.94344,164.78503,159.5906,144.13354,176.06915
