Frame,Right_Knee,Left_Knee,Right_Hip,Left_Hip,Spine_Lean
0,163.15956,168.6863,164.23666,168.18529,176.23396
1,163.04283,168.32304,163.62909,167.87822,176.3796
2,162.45508,167.83011,162.40121,167.37508,176.35658
3,161.9845,166.82146,161.40399,166.4482,176.69684
4,160.27002,165.49944,160.0413,165.18152,177.05682
5,157.86311,164.24239,158.40567,163.43294,177.56885
6,154.43338,162.82913,155.99997,161.31458,178.12163
7,148.1972,160.7681,152.56087,158.27786,178.57535
8,139.76068,156.47614,146.69698,153.06642,178.8253
9,131.30289,149.86336,140.03014,146.46873,178.88705
10,124.27236,141.60304,134.2826,139.27011,178.87848
11,118.41399,133.37715,129.25812,132.43976,178.52368
12,113.77101,125.35997,124.9891,125.85721,178.16196
13,109.00641,118.06301,121.259605,119.815605,177.78522
14,105.24208,112.048225,118.11413,114.739334,177.39362
15,102.27105,106.858345,115.44613,110.32474,176.93222
16,99.26036,102.71335,112.912735,106.733925,176.48463
17,96.883446,99.7245,110.75331,103.781456,175.936
18,95.0163,97.41482,109.14589,101.5237,175.36662
19,93.16208,95.82395,107.900276,100.05752,174.85896
20,92.25942,94.92985,107.11587,98.89015,174.27649
21,91.34814,93.95312,106.67942,98.23768,173.84814
22,90.881966,93.75565,106.52818,97.7773,173.42072
23,90.67806,93.80574,106.2188,97.66517,173.3345
24,90.954185,94.15097,106.35075,97.83424,173.19438
25,91.066315,94.87684,106.49025,98.294495,173.28038
26,91.820984,96.4054,106.848076,99.121506,173.42317
27,92.610756,98.02316,107.53941,100.285355,173.5341
28,93.61881,100.78329,108.51158,101.904854,173.84338
29,95.698135,103.93348,109.75268,104.03343,174.29617
30,98.39441,107.83338,111.31432,106.66608,174.8105
31,102.091385,112.76087,113.512794,109.92284,175.3377
32,107.02709,118.05895,116.25708,113.70771,175.73589
33,111.87061,124.80389,119.3429,118.33962,176.28352
34,118.38001,132.48854,123.43722,123.73702,176.67622
35,125.98406,141.11525,128.38846,129.92392,177.21701
36,135.87582,150.47198,133.88689,136.55788,177.81967
37,144.59256,158.66682,139.17755,143.20786,178.37985
38,151.397,163.78207,143.43977,149.82901,179.0089
39,156.78963,164.99405,146.19019,155.8388,178.67677
40,160.28394,164.22961,149.01668,160.91391,178.03018
41,161.62444,163.82675,151.39091,164.39653,177.3581
42,162.13155,163.7544,153.89262,166.46411,176.72147
43,162.19284,163.7509,155.89517,167.64168,176.28174
44,161.67558,164.81508,157.30643,167.97638,175.89424
45,161.95772,166.31583,158.04132,167.3162,175.7731
46,161.77292,167.93538,158.33119,166.52322,175.6172
47,161.50389,168.86418,158.62408,166.0161,175.41794
48,161.43726,169.36263,158.9776,165.74254,175.54178
49,160.94708,169.68294,159.19572,165.51332,175.52373
