Frame,Right_Knee,Left_Knee,Right_Hip,Left_Hip,Spine_Lean
0,141.74274,131.20654,153.4283,143.13985,172.63358
1,141.77419,131.43471,153.47478,143.26993,172.74297
2,142.39635,131.41316,153.57777,143.53789,172.76709
3,142.08052,130.72472,153.96948,143.81247,172.812
4,142.37427,130.39587,154.31628,144.00166,172.99408
5,141.93376,129.94824,154.81769,143.92511,172.76768
6,142.12001,129.71004,155.17542,144.12907,173.18896
7,141.9593,129.73447,155.51855,144.19383,173.22308
8,142.75557,130.48474,155.7481,144.77316,173.4238
9,143.30316,130.68501,155.75407,144.96068,173.46635
10,143.78969,131.51271,155.6906,145.5598,173.70235
11,142.93262,131.4812,155.53433,145.91188,173.45839
12,142.07123,131.70076,155.4094,146.32672,173.48936
13,141.39185,132.11517,155.0863,147.07954,173.53522
14,139.524,132.4104,154.33176,147.71902,173.61577
15,138.71054,133.35313,153.32637,148.75807,173.43863
16,138.4489,134.2113,151.9089,150.25113,172.72247
17,138.6413,134.91891,149.6257,150.49806,172.57242
18,137.00087,134.9095,145.77545,149.10828,172.89426
19,134.27914,132.27136,140.24564,146.23943,173.32896
20,130.28667,128.55508,133.57123,142.51051,174.90234
21,123.13537,122.44884,124.31444,136.04591,176.78033
22,112.20359,113.81633,112.00791,125.46781,176.14389
23,92.89409,104.24199,96.58548,112.767914,171.95099
24,72.38783,95.92034,82.459335,102.67667,169.08582
25,66.26742,91.099945,73.73298,97.299065,167.301
26,66.05472,90.481705,72.27997,96.46931,166.31772
27,70.70169,93.20569,76.92925,99.29979,166.49529
28,82.58896,99.2585,86.79942,105.83782,168.10582
29,103.41421,107.58833,99.80227,115.480804,171.14598
30,117.214424,115.11471,112.84763,125.84773,175.32387
31,125.50539,120.40856,125.52928,134.75774,179.11089
32,130.84142,124.96567,136.80214,142.54549,175.14082
33,137.17871,128.83449,147.28906,148.15213,173.33632
34,140.27583,130.48915,154.02443,151.3822,173.61281
35,144.51303,131.94566,156.6626,153.484,174.51659
36,147.72069,132.43394,156.8386,154.63596,175.46054
37,151.56145,133.25131,156.26411,155.20123,175.97133
38,153.86687,134.19298,155.88612,155.60684,176.25366
