frame,left_knee_angle,right_knee_angle,left_hip_angle,right_hip_angle,depth,symmetry
0,178.29290200809135,179.57344743336313,174.76456076024343,169.38731098777149,68.625,1.2805454252717823
1,178.66309759410376,179.81086359538216,175.23278984572278,169.04357661759698,68.625,1.1477660012783986
2,179.97817402729413,178.4999421222759,176.0522621907816,168.0188034438717,69.75,1.4782319050182195
3,179.72947471257683,179.5452291794718,175.24577067181318,168.3476890390473,67.078125,0.18424553310504166
4,175.87619763437758,179.69410878831195,174.86717075356674,167.29407994274663,68.34375,3.817911153934375
5,178.5681004234338,179.54260038564067,178.35208793827445,166.19184195544167,65.390625,0.9744999622068633
6,177.8381524103345,178.9373373989312,173.22643529299083,172.38617239571767,64.546875,1.0991849885967042
7,177.33090752435655,177.1201964622114,175.967358030474,168.01179264950574,60.46875,0.21071106214515112
8,175.78095791622562,175.9961893514442,179.5716890781021,165.78789464516439,57.796875,0.215231435218584
9,171.32112926505997,175.6388519779237,179.00388495067838,164.22016235203475,55.265625,4.317722712863741
10,171.896493222632,173.84294853152338,178.6171848164934,160.44523140229273,50.90625,1.9464553088913874
11,173.07753923656097,172.08366858755585,177.14390576955506,162.09798488961292,47.53125,0.9938706490051175
12,168.34544403098954,169.86007292304572,177.88896312996556,157.5860338478613,43.171875,1.5146288920561801
13,173.49639409157112,169.11943603688016,175.43223567542208,159.179203084326,41.484375,4.376958054690959
14,172.06958729899196,161.1620242040095,175.31965865003394,152.23191909877838,33.328125,10.907563094982464
15,175.53041068119992,152.32383257855275,170.1304658557036,147.94545929492276,23.625,23.20657810264717
16,171.1909030313044,145.0752746195132,173.7914014529146,139.91481025588823,18.84375,26.115628411791192
17,165.52874127330463,141.20670607758547,176.20108542694254,139.31639233690083,19.96875,24.322035195719167
18,163.9704489369658,143.47537486831158,179.45025886312686,138.7532853759706,21.515625,20.49507406865422
19,169.64077829165822,162.31826018746213,175.75704586035744,152.13864578077414,30.375,7.322518104196092
20,174.29128343148298,171.3239784717597,175.33434847386073,158.43492614532607,39.796875,2.9673049597232932
21,176.1231396977647,171.32033683383492,171.5327397934117,162.5417237626587,43.171875,4.802802863929799
22,172.37871509234498,170.66082912011535,175.5542524323462,161.52048240378068,47.8125,1.7178859722296238
23,177.4092745296221,175.03586273269474,173.02064880258138,165.35276252014785,50.0625,2.373411796927371
24,175.34111725492605,177.0625267423142,175.43326620690007,165.4408122028004,54.5625,1.7214094873881436
25,177.61600970705433,176.17245171206432,173.50647078337963,167.55186635722072,59.34375,1.443557994990016
26,175.45091189648767,176.69985293058318,175.0011750237954,169.3617725781471,62.71875,1.248941034095509
27,176.85781596836756,177.95167559643545,174.16062504908672,170.4532873106812,63.703125,1.0938596280678894
28,175.56322937814997,177.95760069311527,175.70914924347943,169.4264343756915,66.09375,2.394371314965298
29,176.26367390763843,179.01370749523764,178.18973366274855,166.88463129713494,67.359375,2.750033587599205
30,177.105272646432,179.97473949612666,176.84992117705895,168.49345133183593,67.5,2.8694668496946463
31,176.34883218739716,179.63000791804748,174.91218926881518,171.90890544110687,66.515625,3.281175730650318
32,176.90034896625022,179.1231735364609,175.5462968350608,171.5686981220388,66.09375,2.2228245702106904
33,178.5507931223062,179.89673314551797,174.58054091538241,170.78690773558554,66.09375,1.3459400232117673
34,176.92257228457748,179.6474947886395,175.91990295393518,171.72181630316214,66.375,2.7249225040620217
35,177.39803071282535,178.54929925418134,177.00374851101773,170.56952289965815,65.53125,1.1512685413559893
36,176.05865767232373,179.853315358002,176.26812431136304,172.98450170922393,65.390625,3.79465768567826
37,175.69458061665628,179.97718590830874,176.38599972097902,172.3819525581538,65.8125,4.282605291652459
38,175.83845561763695,179.17509025718914,176.35357287503732,171.5431691348703,64.6875,3.3366346395521873
39,174.61710977710317,178.94666370444364,176.98439986158542,170.46865967475262,64.96875,4.32955392734047
40,174.77426940957312,179.08969608956394,175.46030764430876,171.99457300245805,63.984375,4.315426679990821
41,176.76767737726695,177.9689561009507,176.5054132699313,169.04316711370964,61.3125,1.2012787236837426
42,175.84137589517275,172.89723609293824,174.025685490095,166.60877825652332,57.515625,2.9441398022345027
43,176.09600781761694,176.99376051360437,175.48314304629167,164.2348505093557,51.46875,0.8977526959874353
44,171.03042781634716,173.53379223355236,178.6729589401999,161.11220589148078,48.796875,2.503364417205205
