person_file,rep_number,avg_knee_angle,avg_hip_angle,symmetry,quality_score,label,feedback
correct__IMG_7003_keypoints.json,1,135.29,146.27,12.65,100,0,Good squat form ✅
correct__IMG_7003_keypoints.json,2,139.63,146.62,14.66,100,0,Good squat form ✅
correct__IMG_7003_keypoints.json,3,137.84,145.09,6.24,100,0,Good squat form ✅
correct__IMG_7003_keypoints.json,4,137.53,146.26,8.93,100,0,Good squat form ✅
correct__IMG_7003_keypoints.json,5,143.21,152.22,16.49,90,0,Maintain balanced weight on both legs.
correct__IMG_9776_keypoints.json,1,20.57,19.39,12.31,80,1,Keep your chest up and maintain a stronger torso position.
correct__IMG_9776_keypoints.json,2,25.01,22.14,7.84,80,1,Keep your chest up and maintain a stronger torso position.
correct__IMG_9776_keypoints.json,3,22.42,23.12,4.73,80,1,Keep your chest up and maintain a stronger torso position.
correct__IMG_8555_keypoints.json,1,114.28,105.87,22.29,70,1,Maintain balanced weight on both legs. | Keep your chest up and maintain a stronger torso position.
correct__IMG_9777_keypoints.json,1,50.65,53.42,7.08,80,1,Keep your chest up and maintain a stronger torso position.
correct__IMG_9777_keypoints.json,2,49.68,47.11,5.7,80,1,Keep your chest up and maintain a stronger torso position.
correct__IMG_9777_keypoints.json,3,54.24,54.65,6.58,80,1,Keep your chest up and maintain a stronger torso position.
correct__IMG_7005_keypoints.json,1,63.94,80.78,6.53,80,1,Keep your chest up and maintain a stronger torso position.
correct__IMG_7005_keypoints.json,2,83.7,98.43,4.49,80,1,Keep your chest up and maintain a stronger torso position.
correct__IMG_7005_keypoints.json,3,64.99,78.7,6.81,80,1,Keep your chest up and maintain a stronger torso position.
correct__IMG_7005_keypoints.json,4,67.73,79.49,9.14,80,1,Keep your chest up and maintain a stronger torso position.
correct__IMG_7005_keypoints.json,5,63.91,77.19,10.94,80,1,Keep your chest up and maintain a stronger torso position.
correct__IMG_9795_keypoints.json,1,73.74,71.39,2.76,80,1,Keep your chest up and maintain a stronger torso position.
correct__IMG_9795_keypoints.json,2,25.94,24.56,3.34,80,1,Keep your chest up and maintain a stronger torso position.
correct__IMG_9795_keypoints.json,3,73.17,72.9,8.76,80,1,Keep your chest up and maintain a stronger torso position.
correct__IMG_8536_keypoints.json,1,19.51,17.58,4.05,80,1,Keep your chest up and maintain a stronger torso position.
correct__IMG_8536_keypoints.json,2,17.63,16.0,2.24,80,1,Keep your chest up and maintain a stronger torso position.
correct__IMG_7007_keypoints.json,1,20.65,17.1,21.64,70,1,Maintain balanced weight on both legs. | Keep your chest up and maintain a stronger torso position.
